experiment_id,network,embedding_model,category,prompt_or_pair,ftle,r_squared,num_pairs,num_timesteps
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Qwen25VL,Qwen3Embed,identical,a penguin sitting alongside a campfire,0.0027274373124190204,0.44649175321899914,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,identical,a penguin sitting by a campfire,0.004095874118703065,0.6466429463785663,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Qwen25VL,Qwen3Embed,identical,a penguin sitting by a fire,0.001968264554061497,0.29010379801754904,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,identical,a penguin sitting beside a campfire,0.007443301969994019,0.8349867371250248,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Pixtral,Qwen3Embed,identical,a penguin sitting next to a campfire,0.0054173443672837695,0.5696041865532913,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,identical,a penguin sitting by a campfire,0.0012245264144556994,0.15523822712797408,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,identical,a penguin sitting beside a campfire,0.0036077078680319644,0.7164278761042726,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Pixtral,Qwen3Embed,identical,a penguin sitting beside a campfire,0.004204655123349629,0.7445701467914667,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,identical,a penguin sitting alongside a campfire,0.002160811309027065,0.357229359675845,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Qwen25VL,Qwen3Embed,identical,a penguin sitting alongside a campfire,0.005489186976961133,0.5796248783528009,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,SD35Medium|Moondream,Qwen3Embed,identical,a penguin sitting next to a campfire,-3.362126077704962e-4,0.018095706766055097,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,identical,a penguin sitting alongside a campfire,0.003389557262242106,0.4804976342097995,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,identical,a penguin sitting by a fire,8.694066330644676e-4,0.11433384967768367,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Pixtral,Qwen3Embed,identical,a penguin sitting by a campfire,0.005986894057194475,0.5267613259930607,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,GLMImage|Moondream,Qwen3Embed,identical,a penguin sitting next to a campfire,0.004843206019509542,0.6136072482627184,28,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting beside a campfire,0.0029312527338531675,0.6060245798889525,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a campfire,0.0014798484538425334,0.22552490722182783,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting by a fire,0.002019910446969298,0.4170161229976943,64,100
019d2ec7-2b02-7658-a8fe-4af8be31d75e,Flux2Klein|Moondream,Qwen3Embed,paraphrase,a penguin sitting alongside a campfire || a penguin sitting next to a campfire,0.0027868253962361547,0.5108084450386314,64,100
